atomic_number,symbol,name,group,period,block,category,standard_state,predicted_state,atomic_mass_u,cpk_hex_color,electron_configuration,oxidation_states,atomic_radius_pm,melting_point_k,boiling_point_k,density_g_cm3,pauling_en,first_ionization_energy_ev,electron_affinity_ev,mulliken_en_ev,pauling_available,mulliken_available,app_method_coverage,source_core_url,source_analytics_url,source_methodology_url,source_validation_url,notes
1,H,Hydrogen,1,1,s,Nonmetal,Gas,False,1.008,FFFFFF,1s1,"+1, -1",120.0,13.81,20.28,9e-05,2.2,13.598,0.754,7.176,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
2,He,Helium,18,1,s,Noble gas,Gas,False,4.0026,D9FFFF,1s2,0,140.0,0.95,4.22,0.000178,,24.587,,,False,False,limited_atomic_data,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Pauling electronegativity unavailable in source data. Electron affinity unavailable or not stable in source data.
3,Li,Lithium,1,2,s,Alkali metal,Solid,False,7.0,CC80FF,[He]2s1,+1,182.0,453.65,1615.0,0.534,0.98,5.392,0.618,3.005,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
4,Be,Beryllium,2,2,s,Alkaline earth metal,Solid,False,9.012183,C2FF00,[He]2s2,+2,153.0,1560.0,2744.0,1.85,1.57,9.323,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
5,B,Boron,13,2,p,Metalloid,Solid,False,10.81,FFB5B5,[He]2s2 2p1,+3,192.0,2348.0,4273.0,2.37,2.04,8.298,0.277,4.2875,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
6,C,Carbon,14,2,p,Nonmetal,Solid,False,12.011,909090,[He]2s2 2p2,"+4, +2, -4",170.0,3823.0,4098.0,2.267,2.55,11.26,1.263,6.2615,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
7,N,Nitrogen,15,2,p,Nonmetal,Gas,False,14.007,3050F8,[He] 2s2 2p3,"+5, +4, +3, +2, +1, -1, -2, -3",155.0,63.15,77.36,0.001251,3.04,14.534,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
8,O,Oxygen,16,2,p,Nonmetal,Gas,False,15.999,FF0D0D,[He]2s2 2p4,-2,152.0,54.36,90.2,0.001429,3.44,13.618,1.461,7.5395,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
9,F,Fluorine,17,2,p,Halogen,Gas,False,18.998403,90E050,[He]2s2 2p5,-1,135.0,53.53,85.03,0.001696,3.98,17.423,3.339,10.381,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
10,Ne,Neon,18,2,p,Noble gas,Gas,False,20.18,B3E3F5,[He]2s2 2p6,0,154.0,24.56,27.07,0.0009,,21.565,,,False,False,limited_atomic_data,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Pauling electronegativity unavailable in source data. Electron affinity unavailable or not stable in source data.
11,Na,Sodium,1,3,s,Alkali metal,Solid,False,22.989769,AB5CF2,[Ne]3s1,+1,227.0,370.95,1156.0,0.97,0.93,5.139,0.548,2.8435,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
12,Mg,Magnesium,2,3,s,Alkaline earth metal,Solid,False,24.305,8AFF00,[Ne]3s2,+2,173.0,923.0,1363.0,1.74,1.31,7.646,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
13,Al,Aluminum,13,3,p,Post-transition metal,Solid,False,26.981538,BFA6A6,[Ne]3s2 3p1,+3,184.0,933.437,2792.0,2.7,1.61,5.986,0.441,3.2135,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
14,Si,Silicon,14,3,p,Metalloid,Solid,False,28.085,F0C8A0,[Ne]3s2 3p2,"+4, +2, -4",210.0,1687.0,3538.0,2.3296,1.9,8.152,1.385,4.7685,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
15,P,Phosphorus,15,3,p,Nonmetal,Solid,False,30.973762,FF8000,[Ne]3s2 3p3,"+5, +3, -3",180.0,317.3,553.65,1.82,2.19,10.487,0.746,5.6165,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
16,S,Sulfur,16,3,p,Nonmetal,Solid,False,32.07,FFFF30,[Ne]3s2 3p4,"+6, +4, -2",180.0,388.36,717.75,2.067,2.58,10.36,2.077,6.2185,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
17,Cl,Chlorine,17,3,p,Halogen,Gas,False,35.45,1FF01F,[Ne]3s2 3p5,"+7, +5, +1, -1",175.0,171.65,239.11,0.003214,3.16,12.968,3.617,8.2925,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
18,Ar,Argon,18,3,p,Noble gas,Gas,False,39.9,80D1E3,[Ne]3s2 3p6,0,188.0,83.8,87.3,0.001784,,15.76,,,False,False,limited_atomic_data,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Pauling electronegativity unavailable in source data. Electron affinity unavailable or not stable in source data.
19,K,Potassium,1,4,s,Alkali metal,Solid,False,39.0983,8F40D4,[Ar]4s1,+1,275.0,336.53,1032.0,0.89,0.82,4.341,0.501,2.421,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
20,Ca,Calcium,2,4,s,Alkaline earth metal,Solid,False,40.08,3DFF00,[Ar]4s2,+2,231.0,1115.0,1757.0,1.54,1.0,6.113,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
21,Sc,Scandium,3,4,d,Transition metal,Solid,False,44.95591,E6E6E6,[Ar]4s2 3d1,+3,211.0,1814.0,3109.0,2.99,1.36,6.561,0.188,3.3745,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
22,Ti,Titanium,4,4,d,Transition metal,Solid,False,47.867,BFC2C7,[Ar]4s2 3d2,"+4, +3, +2",187.0,1941.0,3560.0,4.5,1.54,6.828,0.079,3.4535,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
23,V,Vanadium,5,4,d,Transition metal,Solid,False,50.9415,A6A6AB,[Ar]4s2 3d3,"+5, +4, +3, +2",179.0,2183.0,3680.0,6.0,1.63,6.746,0.525,3.6355,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
24,Cr,Chromium,6,4,d,Transition metal,Solid,False,51.996,8A99C7,[Ar]3d5 4s1,"+6, +3, +2",189.0,2180.0,2944.0,7.15,1.66,6.767,0.666,3.7165,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
25,Mn,Manganese,7,4,d,Transition metal,Solid,False,54.93804,9C7AC7,[Ar]4s2 3d5,"+7, +4, +3, +2",197.0,1519.0,2334.0,7.3,1.55,7.434,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
26,Fe,Iron,8,4,d,Transition metal,Solid,False,55.84,E06633,[Ar]4s2 3d6,"+3, +2",194.0,1811.0,3134.0,7.874,1.83,7.902,0.163,4.0325,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
27,Co,Cobalt,9,4,d,Transition metal,Solid,False,58.93319,F090A0,[Ar]4s2 3d7,"+3, +2",192.0,1768.0,3200.0,8.86,1.88,7.881,0.661,4.271,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
28,Ni,Nickel,10,4,d,Transition metal,Solid,False,58.693,50D050,[Ar]4s2 3d8,"+3, +2",163.0,1728.0,3186.0,8.912,1.91,7.64,1.156,4.398,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
29,Cu,Copper,11,4,d,Transition metal,Solid,False,63.55,C88033,[Ar]4s1 3d10,"+2, +1",140.0,1357.77,2835.0,8.933,1.9,7.726,1.228,4.477,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
30,Zn,Zinc,12,4,d,Transition metal,Solid,False,65.4,7D80B0,[Ar]4s2 3d10,+2,139.0,692.68,1180.0,7.134,1.65,9.394,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
31,Ga,Gallium,13,4,p,Post-transition metal,Solid,False,69.723,C28F8F,[Ar]4s2 3d10 4p1,+3,187.0,302.91,2477.0,5.91,1.81,5.999,0.3,3.1495,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
32,Ge,Germanium,14,4,p,Metalloid,Solid,False,72.63,668F8F,[Ar]4s2 3d10 4p2,"+4, +2",211.0,1211.4,3106.0,5.323,2.01,7.9,1.35,4.625,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
33,As,Arsenic,15,4,p,Metalloid,Solid,False,74.92159,BD80E3,[Ar]4s2 3d10 4p3,"+5, +3, -3",185.0,1090.0,887.0,5.776,2.18,9.815,0.81,5.3125,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
34,Se,Selenium,16,4,p,Nonmetal,Solid,False,78.97,FFA100,[Ar]4s2 3d10 4p4,"+6, +4, -2",190.0,493.65,958.0,4.809,2.55,9.752,2.021,5.8865,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
35,Br,Bromine,17,4,p,Halogen,Liquid,False,79.9,A62929,[Ar]4s2 3d10 4p5,"+5, +1, -1",183.0,265.95,331.95,3.11,2.96,11.814,3.365,7.5895,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
36,Kr,Krypton,18,4,p,Noble gas,Gas,False,83.8,5CB8D1,[Ar]4s2 3d10 4p6,0,202.0,115.79,119.93,0.003733,3.0,14.0,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
37,Rb,Rubidium,1,5,s,Alkali metal,Solid,False,85.468,702EB0,[Kr]5s1,+1,303.0,312.46,961.0,1.53,0.82,4.177,0.468,2.3225,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
38,Sr,Strontium,2,5,s,Alkaline earth metal,Solid,False,87.62,00FF00,[Kr]5s2,+2,249.0,1050.0,1655.0,2.64,0.95,5.695,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
39,Y,Yttrium,3,5,d,Transition metal,Solid,False,88.90584,94FFFF,[Kr]5s2 4d1,+3,219.0,1795.0,3618.0,4.47,1.22,6.217,0.307,3.262,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
40,Zr,Zirconium,4,5,d,Transition metal,Solid,False,91.22,94E0E0,[Kr]5s2 4d2,+4,186.0,2128.0,4682.0,6.52,1.33,6.634,0.426,3.53,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
41,Nb,Niobium,5,5,d,Transition metal,Solid,False,92.90637,73C2C9,[Kr]5s1 4d4,"+5, +3",207.0,2750.0,5017.0,8.57,1.6,6.759,0.893,3.826,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
42,Mo,Molybdenum,6,5,d,Transition metal,Solid,False,95.95,54B5B5,[Kr]5s1 4d5,+6,209.0,2896.0,4912.0,10.2,2.16,7.092,0.746,3.919,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
43,Tc,Technetium,7,5,d,Transition metal,Solid,False,96.90636,3B9E9E,[Kr]5s2 4d5,"+7, +6, +4",209.0,2430.0,4538.0,11.0,1.9,7.28,0.55,3.915,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
44,Ru,Ruthenium,8,5,d,Transition metal,Solid,False,101.1,248F8F,[Kr]5s1 4d7,+3,207.0,2607.0,4423.0,12.1,2.2,7.361,1.05,4.2055,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
45,Rh,Rhodium,9,5,d,Transition metal,Solid,False,102.9055,0A7D8C,[Kr]5s1 4d8,+3,195.0,2237.0,3968.0,12.4,2.28,7.459,1.137,4.298,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
46,Pd,Palladium,10,5,d,Transition metal,Solid,False,106.42,6985,[Kr]4d10,"+3, +2",202.0,1828.05,3236.0,12.0,2.2,8.337,0.557,4.447,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
47,Ag,Silver,11,5,d,Transition metal,Solid,False,107.868,C0C0C0,[Kr]5s1 4d10,+1,172.0,1234.93,2435.0,10.501,1.93,7.576,1.302,4.439,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
48,Cd,Cadmium,12,5,d,Transition metal,Solid,False,112.41,FFD98F,[Kr]5s2 4d10,+2,158.0,594.22,1040.0,8.69,1.69,8.994,,,True,False,pauling_only,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,Electron affinity unavailable or not stable in source data.
49,In,Indium,13,5,p,Post-transition metal,Solid,False,114.818,A67573,[Kr]5s2 4d10 5p1,+3,193.0,429.75,2345.0,7.31,1.78,5.786,0.3,3.043,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
50,Sn,Tin,14,5,p,Post-transition metal,Solid,False,118.71,668080,[Kr]5s2 4d10 5p2,"+4, +2",217.0,505.08,2875.0,7.287,1.96,7.344,1.2,4.272,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
51,Sb,Antimony,15,5,p,Metalloid,Solid,False,121.76,9E63B5,[Kr]5s2 4d10 5p3,"+5, +3, -3",206.0,903.78,1860.0,6.685,2.05,8.64,1.07,4.855,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
52,Te,Tellurium,16,5,p,Metalloid,Solid,False,127.6,D47A00,[Kr]5s2 4d10 5p4,"+6, +4, -2",206.0,722.66,1261.0,6.232,2.1,9.01,1.971,5.4905,True,True,full,https://periodic-table.rsc.org/,https://pubchem.ncbi.nlm.nih.gov/periodic-table/,https://iupac.github.io/WFChemCookbook/datasources/pubchem_ptable.html,https://www.nist.gov/pml/periodic-table-elements,
